Nome;Stand;País;Produtos;Site;Redes sociais;Atividade principal;Atividade secundária;Endereço
AHMETOGLU CANNED FOODS;Hall 3 - C234;Türkiye;ROASTED RED PEPPER, ROASTED EGGPLANT, PICKLES IN BRINE AND PICKLES FOR STUFFING;https://ahmetoglugida.com/;LinkedIn (https://linkedin.com/company/ahmeto-lu-konserve/), Facebook (https://www.facebook.com/p/Ahmetoglu-Konserve-100054764259690/);Delicatessen, Ready to Eat;;Gokyaka Mah. 14. Cad. No: 20, Cine Org. San. Bolgesi, Aydin, 09500
YUSAKI;Hall 5C - H245;Netherlands;Iced Matcha Latte Natural;https://www.yusaki.nl/;LinkedIn (https://www.linkedin.com/company/yusaki-matcha), Instagram (https://www.instagram.com/yusakimatcha), TikTok (https://www.tiktok.com/@yusakimatcha);Non-alcoholic beverages;;Osdorperweg 590, AMSTERDAM, 1067SZ
ELABORADOS NATURALES;Hall 2 - M186;;;;;Grocery products;;
Meridyen Gida San. Tic. Ltd. Sti.;Hall 5C - H081;Türkiye;JUST POWER ENERGY DRINK, DARK CAFE 212 ICE COFFEE CARAMEL MACCHIATO , DARK BLUE ENERGY DRINK BERRY, DARK BLUE ENERGY DRINK MANGO, DARK CAFE 212 ICE COFFEE MOCHA, JUST COFFEE ICE COFFEE MOCHA, DARK CAFE 212 ICE COFFEE VANILLA, DARK BLUE ENERGY DRINK SUGARFREE, DARK CAFE 212 ICE COFFEE CAPPUCCINO , DARK BLUE ENERGY DRINK MULTIVITAMIN, JUST COFFEE ICE COFFEE ORIGINAL, DARK BLUE ENERGY DRINK MOJITO, DARK BLUE ENERGY DRINK, DARK CAFE 212 ICE COFFEE LATTE ;https://www.meridyengida.com.tr/;LinkedIn (https://www.linkedin.com/company/meridyenbeverage/posts/?feedView=all), Facebook (https://www.facebook.com/meridyengida/), Instagram (https://www.instagram.com/meridyengida/);Non-alcoholic beverages;;Bahcesehir Park Avm Sit., B Blok Kat:2 No:17, Basaksehir, Istanbul, 34488
Gicopa;;Belgium;Fruit mix 100g, Raspberry cup 150g, Super sour cherry;https://www.gicopa.be/;Facebook (https://gicopa.be/), Instagram (https://gicopa.be/);Confectionery, biscuits and pastry;;Rue Lileutige, 122, Sprimont, 4140
Nice to Meat International;Hall 6 - H146;United States of America;;;;Meat and tripe;;Kobaltstraat 2, Almere, 1362 JM
"""AKO"" - SPÓŁKA AKCYJNA";Hall 7 - B347;Poland;;https://www.ako.com.pl/;YouTube (https://m.youtube.com/@ako.studio452);Semi-finished food products and ingredients;Confectionery, biscuits and pastry;ul. Startowa 2A, Bydgoszcz, 85-744
Saysan Dis Ticaret Ltd. Sti.;Hall 8 - J038;Türkiye;;https://www.saysan.com.tr/;;Grocery products;;Kazanli Mah. 321040 Sok. No:8, Akdeniz, Mersin, 33261
GIOIOSO ITTICA SRL;Hall 5A - F094;Italy;;;;Grocery products;;Piazzale della Repubblica n.19, MILANO, 20124, .
MOUSLINE;Hall 5A - R050;France;Mousline Mashed Potato the Original, Easy-pan potato gnocchi, MOUSLINE Sweet potato purée, Easy pan potato gnocchi with basil pesto;https://www.mousline.fr/;;Grocery products;;Rue du 14 juillet, ROSIERES EN SANTERRE, 80170
INDUSTRIAS LÁCTEAS ASTURIANAS;Hall 2 - L188;;;;;Grocery products;;
BOUDJEBEL SA VACPA;Hall 8 - F066;Tunisia;;;;Fruits and vegetables;;"Ave. Hédi Karray Imm; Comète Immob., Tunis, 1082"
CHELMER FOODS LIMITED;Hall 8 - H066;United Kingdom;Organic Seeds, Sunflower Seed, Macadamias, Sultanas, Brazil Nuts, Berries, Raisins, Coconut, Prunes, Pine Nuts, Millet, Dates, Pecans, Chia, Sesame Seed, Mixed Nuts, Linseed, Tropical Fruit, Walnuts, Almonds, Apricots, Poppy Seed, Hazelnuts, Mixed Fruit, Pumpkin Seed, Pistachios, Currants, Bananas, Figs, Cashews, Black Quinoa, Borlotti Beans, Black Eyed Beans, Black Turtle Beans, Pinto Beans, Buckwheat, Popcorn, Butter Beans, Chickpeas, Bulgur Wheat, Brown Lentils, Green Lentils, White Quinoa, Red Split Lentils, Puy Lentils, Dark Red Kidney Beans, Red Quinoa;https://chelmerfoods.com/;LinkedIn (https://www.linkedin.com/company/chelmer-foods/), Facebook (https://www.facebook.com/chelmerfoods), Instagram (https://www.instagram.com/chelmer_foods/);Fruits and vegetables;Healthy foods and diet products;220 The Courtyard Skyline 120 Business, Braintree, CM77 7AA, Essex
SANT TIRS;Hall 2 - P160;Spain;Delicies Range Wafers, Mouthes Range Wafers, Tulips Wafer Cups, Sant Tirs Special Range, Traditional Sant Tirs Wafers, Crok's Courtesy Cookie;https://www.neulessanttirs.com/;LinkedIn (https://linkedin.com/in/neules-artesanes-sant-tirs), Instagram (https://www.instagram.com/sant_tirs/);Grocery products;Organizations, federations, institutions, Confectionery, biscuits and pastry;P.I. CAN VIDAL  Nº 12, PUIG-REIG, 08692, Barcelona
DAILY RISING (SHANDONG) FOODS CO., LTD;Hall 5A - S246;People's Republic of China;Fresh Carrot , Frozen Broccoli , Frozen Strawberry ;https://www.dailyrising.cn/;;Grocery products;Frozen products, Fruits and vegetables;Shichang town, Wulian county,, Rizhao, 262310, Shandong Province
EGARRI;Hall 5A - S012;France;;;;Other alcoholic beverages;;79 Avenue Capitaine Resplandy, BAYONNE, 64100
Heilongjiang Hexing Agricultural Produ;Hall 6 - A086;People's Republic of China;;;;Semi-finished food products and ingredients;;No,6 Central Street Baoqing, Heilongjiang China, Shuangyashan, 155600, Heilongjiang
SINOPAPRIKA CO., LTD.;Hall 4 - K296;People's Republic of China;Paprika Powder , Chili Powder, Chili Crushed;http://www.sinopaprika.com/;;Grocery products;Semi-finished food products and ingredients;Room.2308, Building 4, No.12, Liaoyangdong Road, Qingdao, 266035, Shandong Province
Asma Findik San. Tic. Ltd. Sti.;Hall 3 - E169;Türkiye;Hazelnut;https://www.asmafindik.com/;LinkedIn (https://tr.linkedin.com/company/asmahazelnut), Instagram (https://www.instagram.com/asmafindik/);Confectionery, biscuits and pastry;;Kushane Mah. Ataturk Blv., No:258/1 Carsamba, Samsun, 55500
CODAN;Hall 2 - L160;;;;;Grocery products;;
NEUGEBAUER ALIMENTOS S/A;Hall 4 - J056;Brazil;Chocolate Bar 1891 Supreme White Chocolate 45g, Chocolate Bar 1891 Tropical 90g, Chocolate Bar 1891 Caramel Sea Salt 90g, Chocolate Bar 1891 Intense 70% cocoa 90g, Chocolate Bar 1891 Supreme Milk Chocolate 90g, Chocolate Bar 1891 Supreme White Chocolate 90g, Chocolate Bar 1891 Supreme Milk Chocolate 45g, Chocolate Bar 1891 Coffee 90g, Chocolate Bar 1891 Dark 55% cocoa 90g, Chocolate Bar 1891 Supreme Hazelnut 45g, Chocolate Bar 1891 Intense 70% cocoa 45g, Chocolate Bar 1891 Supreme Hazelnut 90g, Napolitano Chocolate Bar 70g, Neugebauer Bar Black & White 130g, Neugebauer Bar Milk 130g, Neugebauer Bar 40% Cocoa 130g, Neugebauer Bar Cookies 130g, Neugebauer Bar Peanut 130g, Neugebauer Bar Peanut 80g, Neugebauer Bar 40% Cocoa 80g, Neugebauer Bar Cookies 80g, Neugebauer Bar Crunchy Caramel 80g, Neugebauer Bar White 80g, Refeição Original Chocolate Bar 60g, Neugebauer Bar Crispies 80g, Neugebauer Bar Milk 50g, Neugebauer Bar White 50g, Neugebauer Bar Milk 80g, Neugebauer Bar Peanut 50g, Stikadinho Chocolate Bar 70g, Neugebauer Bar Black & White 50g, Neugebauer Bar Black & White 80g, Bib's Raisins 40g, Bib's Black and White 40g, Bib's White Chocolate Peanut 40g, Bib's Crispy 40g, Bib's Milk 40g, Bib's Strawberry Extreme 40g, Bib's Duo 40g, Bib's Peanut 40g, Bib's White 40g, Mu-Mu Kids Strawberry 15,6g, Mu-Mu Kids Grape 15,6g, Mu-Mu Kids Coconut 15,6g, Bib's Pouch Milk 120g, Mu-Mu Kids Banana 15,6g, Bib's Pouch Peanut 120g, Mu-Mu Kids Vanilla 15,6g, Mu-Mu Kids Chocolate 15,6g, Bib's Pouch Duo 120g, Bib's Pouch Mix120g, Bib's Cup Peanut 180g, Bib's Pouch Strawberry Extreme 120g, Stikadinho GO 40g, Chocolate Bar 1891 Supreme Milk Chocolate 9g, Neugebauer Bar 40% Cocoa 9g, Bonbon Amor Carioca 500g, Bonbon Amor Carioca White 900g, Amor Carioca GO Pouch 120g, Refeição Original Chocolate Bar 9g, Bonbon Amor Carioca White 200g, Neugebauer Bar Milk 9g, Neugebauer Bar White 9g, Amor Carioca GO White 40g, Napolitano GO Pouch 120g, Napolitano GO 40g, Refeição Original Chocolate Bar 45g, Stikadinho Chocolate Bar 61,5g, Chocolate Bar 1891 Dark 55% cocoa 9g, Stikadinho GO Pouch 120g, Chocolate Bar 1891 Intense 70% cocoa 45g, Neugebauer White Chocolate Peanut Bar 80g, Stikadinho Chocolate Bar 12,3g, Bonbon Amor Carioca 900g, Bonbon Amor Carioca 200g, Chocolate Bar 1891 Intense 70% cocoa 9g, Amor Carioca GO 40g, Bonbon Amor Carioca White 500g, Chocolate Bar 1891 Supreme Milk Chocolate 45g, Chocolate Bar 1891 Supreme White Chocolate 9g, Amor Carioca Sticks 29g, Bib's Citrus 40g, Bib's Sticks Milk chocolate 29g, Nóig Bar Crème Brûlée 70g, Bib's Sticks Dark 29g, Nóig Bar Tarte au Citron 70g, Bonbon Stikadinho 440g, Bonbon Amor Carioca DUO 200g, 1891 Assorted 216g, Bib's Sticks Hazelnut 29g, Nóig Bar Mango 70g, Neugebauer Hits 200g, Mu-mu Kids assorted 187,2g, Stikadinho Sticks 29g, Bonbon Stikadinho 160g, Nóig Bar Tiramusù 70g, Nóig Bar Pavlova 70g, Nóig Assorted 205,5g, Nóig Bar Banoffee 70g;https://www.neugebauer.com.br/en;LinkedIn (https://www.linkedin.com/company/neugebaueralimentossa/), Facebook (https://www.facebook.com/QueroNeugebauer/), Instagram (https://www.instagram.com/queroneugebauer?igsh=MTI3YTV0dnkzYm5pag==);Confectionery, biscuits and pastry;;ROD RS 130, 258 Arroio do Meio, ROD RS 130, 2258 - KM 74, Medianeira, ARROIO DO MEIO, 95940-000, RS
PROMOLAC;Hall 2 - R142;Spain;;;;Grocery products;;Carrer F Nau 6, CORNELLÀ DEL TERRI, 17844, Girona
ARROCERA DEL PIRINEO;Hall 2 - N185;Spain;Brazal Rice Bomba variety, Brazal Rice Balilla x Sollana variety, Brazal Rice Special Restaurants & Hotels, Brazal Rice Nuovo Maratelli variety with dried Porcini, Brazal Rice Guadiamar variety, Brazal Rice Nuovo Maratelli variety, Brazal Rice Brown/Complete variety;https://www.arrozbrazal.es/;Facebook (https://www.facebook.com/ArrozBrazalPirineo/), Instagram (https://www.instagram.com/arrozbrazal/), TikTok (https://www.tiktok.com/@arrozbrazal), YouTube (https://www.youtube.com/@arrozbrazal6860);Grocery products;;C/Matilde Sangüesa Castañosa 5 local 7 , Zaragoza, 50015, Zaragoza
Greater Omaha Packing Company;Hall 6 - J141;United States of America;;;;Meat and tripe;;300 L. Street, Omaha, 68107
BY Foods;Hall 5A - T086;Portugal;Pastel de nata | Mixed Berries, Pastel de nata | Apple, Bakeology, Pastel de nata | Salted Caramel, Pastel de nata | Original, Pastel de nata | Chocolate;https://www.byfoodsglobal.com/;LinkedIn (https://www.linkedin.com/company/natapura-byfoods/), Facebook (https://www.facebook.com/natapura), Instagram (https://www.instagram.com/nata_pura/), YouTube (https://www.youtube.com/channel/UC2n5JRSXJhJ2fyl8k251YaA);Organizations, federations, institutions;Frozen products, Confectionery, biscuits and pastry;Rua do Monte São Caetano 668 Armazém 2, Porto, 4405-817
Lancashire Farm Dairies;Hall 7 - A180;United Kingdom;;;;Dairy products, eggs;;Pakeeza Dairies Unit 2b,, Moss Bridge Road, Rochdale, OL16 5LX, Greater Manchester
CAFES BAQUE SLU;Hall 5A - K050;Spain;;;;Delicatessen, Ready to Eat;;Polígono Industrial Santa Apolonia U.A, IURRETA, 48215, BIZKAIA
EUROCHAMP;Hall 2 - M153;Spain;Processed Organic Mushrooms, Canned Mushrooms, Processed Mushrooms;https://www.eurochamp.es/;;Grocery products;;Ctra. Calahorra Km 1,6, Autol, 26560
GREEN EXPERTS CORP.;Hall 5C - D134;Taïwan;Lychee Syrup (https://www.greenexperts.com.tw/us/product_list.html?pro_sn=259&menu_t=37&menu=45&keyword=), Mango Syrup (https://www.greenexperts.com.tw/us/product_list.html?pro_sn=280&menu_t=37&menu=45), Mango Puree (https://www.greenexperts.com.tw/us/product_list.html?pro_sn=246&menu_t=34&menu=74&keyword=), Blueberry Syrup (https://www.greenexperts.com.tw/us/product_list.html?pro_sn=266&menu_t=37&menu=45&keyword=), Strawberry Puree (https://www.greenexperts.com.tw/us/product_list.html?pro_sn=247&menu_t=34&menu=74), Pinky Peach Pulpy Jam (https://www.greenexperts.com.tw/us/product_list.html?pro_sn=312&menu_t=34&menu=74), SHINETHIE Flavored Syrup (https://www.greenexperts.com.tw/us/product_list.html?pro_sn=242&menu_t=37&menu=78&keyword=), Lime Pulpy Jam (https://www.greenexperts.com.tw/us/product_list.html?pro_sn=92&menu_t=34&menu=74&keyword=), Grapefruit Fruit Syrup (https://www.greenexperts.com.tw/us/product_list.html?pro_sn=73&menu_t=33&menu=41&keyword=), Green Apple Syrup (https://www.greenexperts.com.tw/us/product_list.html?pro_sn=264&menu_t=37&menu=45&keyword=), Lemon Fruit Syrup (https://www.greenexperts.com.tw/us/product_list.html?pro_sn=70&menu_t=33&menu=41&keyword=), Passion Fruit Fruit Syrup (https://www.greenexperts.com.tw/us/product_list.html?pro_sn=71&menu_t=33&menu=41&keyword=);https://www.greenexperts.com.tw/;Facebook (https://www.facebook.com/GES.shakeshake), Instagram (https://www.instagram.com/greenexpertsshake/), TikTok (https://www.tiktok.com/@greenexperts);Grocery products;Non-alcoholic beverages;14F-1, NO. 84, SEC. 2,, FU-HSING S. RD., TAIPEI CITY, 10664
HEILONGJIANG SUNNY ISLAND TRADE CO.,LT;Hall 4 - R288;People's Republic of China;;;;Grocery products;;NO. 1 BAOSHUI SAN Rd XINGFU TOWN, XIANGFANG DIST, HARBIN, 150000
GOF Hungary Kft.;;Hungary;;;;Healthy foods and diet products;;Debreceni utca 293., Nyíregyháza, 4400
SAPO DAKLAK CO., LTD;Hall 4 - S199;Vietnam;IQF FRUITS, PURÉE, CONCENTRATE;https://sapodaklak.com/;;Fruits and vegetables;;97 To Hien Thanh, Hoa Hung Ward, Ho Chi Minh City, 70000
Ovostar LTD;Hall 1 - B191;Ukraine;Liquid Egg Yolk OVOSTAR  (https://www.ovostar.global/en/products/liquid-egg-products/yolk/pasteurized-egg-yolk/), Liquid EGG White OVOSTAR  (https://www.ovostar.global/en/products/liquid-egg-products/white/pasteurized-egg-white/), Shell egg  (https://www.ovostar.global/en/products/egg/whole-egg/fresh-chicken-eggs/), Liquid Egg (https://www.ovostar.global/en/products/liquid-egg-products/whole-egg/pasteurized-whole-egg/), Whole egg powder OVOSTAR  (https://www.ovostar.global/en/products/dry-egg-products/whole-egg/whole-egg-powder/), OVOSTAR Egg white powder (Albumen)  (https://www.ovostar.global/en/products/dry-egg-products/egg-white/egg-white-powder/), OVOSTAR Hard Boiled Peeled Eggs  (https://www.ovostar.global/en/products/egg/whole-egg/hard-boiled-peeled-egg/);https://ovostar.global/;LinkedIn (https://www.linkedin.com/company/ovostar-union), Facebook (https://www.facebook.com/OvostarUnion);Dairy products, eggs;;St. Kolgospna, 11, Kyiv, 08635, Fastivsky district, Krushinka village
DEOLEO. THE OLIVE OIL COMPANY;Hall 2 - N239;Spain;Bertolli Classico Olive Oil, Bertolli Extra Virgin Originale;https://deoleo.com/en/;;Grocery products;;C/ Marie Curie 7, 4th floor, Rivas Vaciamadrid, 28521, Madrid
65 Oats by Kinnusen Mylly;Hall 5A - J107;Finland;;;;Semi-finished food products and ingredients;;Murrontie 2, Utajärvi, 91600
Warrendale Wagyu Ltd;Hall 6 - H220;United Kingdom;;;;Meat and tripe;;Quarry House,, Cattle Hill,, Warter, East Yorkshire, YO42 1XG
Biržų duona;Hall 3 - G073;Lithuania;;https://www.birzuduona.lt/;LinkedIn (https://www.linkedin.com/company/birzuduona/), Facebook (https://www.facebook.com/BirzuDuona), Instagram (https://www.instagram.com/birzu_duona/);Confectionery, biscuits and pastry;;Plento g. 6, Biržai, LT-41128
Oba Makarnacilik San. ve Tic. A.S.;Hall 3 - D032;Türkiye;OBA PASTA (https://www.obamakarna.com.tr/index.php?lang=en), OBA MACARONI AND CHEESE, OBA WHEAT FLOUR, OBA SEMOLINA (https://www.obamakarna.com.tr/index.php?lang=en), OBA SPAGHETTI;https://www.obamakarna.com.tr/index.php?lang=en;LinkedIn (https://tr.linkedin.com/company/obamakarna), Facebook (https://www.facebook.com/obamakarna/?locale=tr_TR), Instagram (https://www.instagram.com/obamakarna/), Twitter/X (https://x.com/obamakarna), YouTube (https://www.youtube.com/channel/UCzRiN7J8XyZRZ0a1mcVwlig);Grocery products;;4.Org. San. Bolgesi 83422 No'lu, Cad. No:1 Sehitkamil, Gaziantep, 27600
HOMIFREEZ NV;;Belgium;;;;Fruits and vegetables;;Gapaardstraat 21, Ardooie, 8850
Raisio Nutrition Ltd.;Hall 5A - H108;Finland;Gluten-free Oat Flakes (https://www.raisiofoodsolutions.com/products/gluten-free-oats), Gluten-free Oat Groats (https://www.raisiofoodsolutions.com/products/gluten-free-oats), FiprOat™ Oat Bran Concentrates (https://www.raisiofoodsolutions.com/fiproat-more-fiber.-more-protein.-pure-potential), Gluten-free Oat Flours (https://www.raisiofoodsolutions.com/products/gluten-free-oats);https://www.raisiofoodsolutions.com/;;Semi-finished food products and ingredients;;Raisionkaari 55, Raisio, 21200, Varsinais-Suomi
SACESA SELECCIÓN;Hall 2 - M165;;;;;Grocery products;;
SOT Dairy Trading Cooperative;;Poland;;https://www.sot.pl/;;Dairy products, eggs;;Handlowa 4, Białystok, 15-399
Long Clawson Dairy;Hall 7 - A185;United Kingdom;;;;Dairy products, eggs;;West End, Long Clawson, Melton Mowbray, LE14 4PJ, Leicestershire
Bone Broth Factory;Hall 5A - L059;Estonia;;https://www.bonebrothfactory.com/;LinkedIn (https://www.linkedin.com/company/foodstudiobroths/), Facebook (https://www.facebook.com/foodstudio.ee/), Instagram (https://www.instagram.com/foodstudio_eesti/), YouTube (https://www.youtube.com/@foodstudio3918);Delicatessen, Ready to Eat;Pet foods;Pilvetee tn 6/1, Tallinn, 12618, Harjumaa
VILLARS MAÎTRE CHOCOLATIER;Hall 7 - B152;Switzerland;;;;Confectionery, biscuits and pastry;;Route de la fonderie 18, Fribourg, 1700
Sartori;Hall 7 - D182;United States of America;;;;Dairy products, eggs;;107 N. Pleasant View Road, Plymouth, 53073
VENT DES SAVEURS;Hall 5A - R073;France;Creamy potato nest forest mushrooms, Potato gratin, Vegetables Crumble, Mediterranean vegetables gratin, Pomme Annette, Potato nest base to be stuffed, Tomato pudding ratatouille, Potato tartlet to be stuffed, Creamy potato nest Raclette, savoury zuchini pudding, Gourmet vegetable gratin, Savoury carrot pudding, Smashed potato with parsley butter, Potato blossoms with emmental, butter and Guérande salt;;;Organizations, federations, institutions;Frozen products, Delicatessen, Ready to Eat;PARC D'ACTIVITES DU PATIS 1 - BP 40, 252 RUE DU MARECHAL FERRANT, TALMONT SAINT HILAIRE, 85440
ZHEJIANG CHUNLI TEA CO.,LTD.;Hall 5C - E269;People's Republic of China;;;;Non-alcoholic beverages;;NO.379,PUNAN ROAD, SHENGZHOU, 312400, ZHEJIANG
Kadooglu Yag. San. ve Tic. A.S.;Hall 3 - E092;Türkiye;KADOO 100% Pure Refined Sunflower Oil (https://kadoogluyag.com.tr/urunlerimiz/aycicek/), KADOO 100% Pure Refined Sunflower Oil (https://kadoogluyag.com.tr/urunlerimiz/aycicek/), KADOO 100% Pure Refined Sunflower Oil (https://kadoogluyag.com.tr/urunlerimiz/aycicek/), KADOO 100% Pure Refined Sunflower Oil (https://kadoogluyag.com.tr/urunlerimiz/aycicek/);https://kadoogluyag.com.tr/;LinkedIn (https://www.linkedin.com/company/kadoogluyag/), Facebook (https://www.facebook.com/Kadoog%CC%86lu-Yag%CC%86-106132651267586/), Instagram (https://www.instagram.com/kadoogluyag/), YouTube (https://www.youtube.com/channel/UCEddH4xMOnFUQVOf5g9O03A);Grocery products;;4. Org. San. Blg. 83422. Cad. No: 11, 83422 Nolu Cad., No:11  Baspinar, Gaziantep, 27600
Sport8 Hungary Kft.;;Hungary;FORPRO 48% PROTEIN RAMEN - SPICY CURRY 66 G, FORPRO 51% PROTEIN RAMEN BEEF 62 G, FORPRO 51% PROTEIN RAMEN CHICKEN 62 G, FORPRO 52% PROTEIN RAMEN SPICY KIMCHI 62 G;https://forpro-healthandpower.com/;;Healthy foods and diet products;;Fehérvári út 168-178., Budapest, 1116
Smartfruit, Inc.;Hall 4 - N104;United States of America;;;;Non-alcoholic beverages;;9 Bridewell Place, Clifton, 07014
BISCUITERIE JL BRICHARD;;Belgium;SPECULOOS CRUMBS, ALMOND ROUND CAKE, LIEGEOISE WAFFLE, MUFFIN VANILLA OR CHOCOLATE;https://www.jlbrichard.com/;;Confectionery, biscuits and pastry;;Rue Guillaume Fouquet 28, Parc Créalys, ISNES, 5032
LA CASELLA;Hall 2 - R225;Spain;;https://www.lacasellabiocoop.com/;;Grocery products;;C/ CAMPANERS, 3, Alzira, 46600, Valencia
Demka GmbH;Hall 6 - F242;;;;;Meat and tripe;;
TIEN GIANG VEGETABLES AND FRUITS JSC;Hall 4 - R204;Vietnam;IQF Ripe Jackfruit, Kimchi In Glass Jar;https://www.vegetigi.com/;;Fruits and vegetables;;National Route 1A, Long Dinh Commune, Dong Thap Province, 83000
FRUTOS SECOS EL LLANO;Hall 2 - M241;Spain;FRIED CASHEW NUTS, TOASTED PISTACHIO, ROASTED AND SALTED SUNFLOWER SEEDS, TOASTED ALMONDS, Fried macadamia, FRIED MARCONA ALMONDS, TOASTED HAZELNUT;https://www.elllano.com/;Facebook (https://www.facebook.com/fsllano/), Instagram (https://www.instagram.com/elllano_fs/), Twitter/X (https://twitter.com/fs_el_llano_);Grocery products;;VEREDA CASANOVA Nº 2 A, VEREDA CASANOVA Nº 2 A, MURCIA, 30161, MURCIA
Jaunpils pienotava Jsc.;Hall 7 - D257;Latvia;;;;Dairy products, eggs;;Jaunpils pienotava, Jaunpils pagasts, LV-3145, Tukuma novads
Hilltop Ranch;Hall 8 - G018;United States of America;;;;Grocery products;;13890 Looney Road, Ballico, 95303
AZZAYT GROUP;Hall 2 - M203;Spain;Olive oil, Avocado Oil , Suflower Oil ;https://www.azzayt.com/;YouTube (https://www.youtube.com/watch?v=2J7g9I-KC64&t=54s);Grocery products;;Calle Mirlo 20, 29310 Villanueva de Algaidas, Málaga , Málaga, 29310
CANDY PACK BELGIUM;;Belgium;;https://candypack.be/fr/;;Confectionery, biscuits and pastry;;Rue des Biolleux 2/z, Verviers, 4800
TUAN MINH TRADING AND PRODUCTION;Hall 4 - S175;Vietnam;PEPPER, STAR ANISE, CASSIA CINNAMON, DESICCATED COCONUT, GINGER, CASHEW NUTS, TURMERIC;https://tuanminhexport.com/;;Grocery products;Fruits and vegetables, Confectionery, biscuits and pastry;559 Kim Ma Street, Ngoc Khanh Ward, Hanoi, 10000
AUZIER CHABERNAC;Hall 5A - MN044;France;Organic liquorice and honey gum, Pure Gum Licorice Bateaux, Organic licorice gum, Organic Gums Propolis Honey Eucalyptus, Organic Vanilla Marshmallows, Marshmallow Tutti Frutti, Pure Gum Fruits Ball, Pure Gum Licorice Honey Chabernac, Pure Gum Licorice Sujets, Organic Honey Balls, Organic plum and cherry gum, Organic rescue gum, Pure Gum Green Menthol, Organic Licorice Vanilla, Pure Gum Licorice Vanilla, Pure Gum Licorice, Marshmallows, Triangles Eucalyptus Pure Gum, Organic licorice mint gum, Tutti Frutti Marshmallows;https://www.auzier-chabernac.com/;;Confectionery, biscuits and pastry;;23 Rue de la Colline, Saint-Gély-du-Fesc, 34980, Hérault
La Granja Foods 1959 S.L;Hall 2 - R148;Spain;"MINI BOMBON MAGDALENAS 220G (GLUTEN AND LACTOSE FREE), TRADITIONAL SPONGE CAKE 350G, MINI MAGDALENA WITH HARD NOUGAT VICENS 200G, MINI TRADITIONAL MAGDALENAS 200G, VEGAN & ORGANIC BREADSTICKS SUNFLOWER SEEDS & OLIVE OIL, LENTIL SNACK WITH CHIA AND SESAM 40G, LENTIL SNACKS WITH SEAWEED 40G, MINI TRADITIONAL MAGDALENAS (GLUTEN AND LACTOSE FREE), LENTIL SNACKS 40G, VEGAN SNACK LENTIL, 3 QUINOA AND FLAX 40G, MINI KADAYIF BOMBON MAGDALENAS 200G, MARBLE SPONGE CAKE 350G, CACAO CHOCOLATE CHIPS SPONGE CAKE 350G (GLUTEN AND LACTOSE FREE), ALMOND VICENS SPONGE CAKE 350 (GLUTEN AND LACTOSE FREE), SPONGE CAKE WITH HARD NOUGAT VICENS 350G, MINI CHOCOLATE BOMBON MAGDALENAS 200G, PISTACHIO SPONGE CAKE 350G, SNACK CHOCOLATE 60G (GLUTEN AND LACTOSE FREE), LA FAGEDA TRADITIONAL YOGURT SPONGE CAKE WITH CHOCOLATE CHIPS 350G, MAGNUM MAGDALENA AGRAMUNT HAZELNUT NOUGAT ""VICENS"" 600G, COCONUT & BANANA SPONGE CAKE 230G (GLUTEN AND LACTOSE FREE),  MINI MAGDALENAS COFFEE 220G (GLUTEN AND LACTOSE FREE), PUMPKIN & YUZU SPONGE CAKE 350G (GLUTEN AND LACTOSE FREE), MINI CHOCOLATE CHIPS MAGDALENAS 200G, MINI KADAYIF PISTACHIO MAGDALENAS 200G, TRADITIONAL SPONGE CAKE SUGAR FREE WITH MALTITOL 230G (GLUTEN AND LACTOSE FREE), SPONGE CAKE TIRAMISÚ 350G (GLUTEN AND LACTOSE FREE), CARROT CAKE SPONGE CAKE 350G (GLUTEN AND LACTOSE FREE), ORANGE WITH CHOCOLATE CHIPS SPONGE CAKE SUGAR FREE MALTITOL 350G (GLUTEN AND LACTOSE FREE), MINI CHOCOLATE CHIPS MAGDALENAS 200G (GLUTEN AND LACTOSE FREE)";https://www.lagranjafoods.com/es/;Facebook (https://www.facebook.com/lagranjafoods/), Instagram (https://www.instagram.com/lagranjafoods/);Confectionery, biscuits and pastry;;Pol Ind. Clot de Moja - C / Trepat, 1, Olèrdola, 08734, Barcelona
Calbee Group UK;Hall 2 - H078;United Kingdom;;;;Grocery products;;Seabrook House, Duncombe Street, Bradford, BD8 9AJ, West Yorkshire
